LGA,greater_sydney
Albury (C),0
Armidale Regional (A),0
Ballina (A),0
Balranald (A),0
Bathurst Regional (A),0
Bayside (A),1
Bega Valley (A),0
Bellingen (A),0
Berrigan (A),0
Blacktown (C),1
Bland (A),0
Blayney (A),0
Blue Mountains (C),1
Bogan (A),0
Bourke (A),0
Brewarrina (A),0
Broken Hill (C),0
Burwood (A),1
Byron (A),0
Cabonne (A),0
Camden (A),1
Campbelltown (C) (NSW),1
Canada Bay (A),1
Canterbury-Bankstown (A),1
Carrathool (A),0
Central Coast (C) (NSW),1
Central Darling (A),0
Cessnock (C),0
Clarence Valley (A),0
Cobar (A),0
Coffs Harbour (C),0
Coolamon (A),0
Coonamble (A),0
Cootamundra-Gundagai Regional (A),0
Cowra (A),0
Cumberland (A),1
Dubbo Regional (A),0
Dungog (A),0
Edward River (A),0
Eurobodalla (A),0
Fairfield (C),1
Federation (A),0
Forbes (A),0
Georges River (A),1
Gilgandra (A),0
Glen Innes Severn (A),0
Goulburn Mulwaree (A),0
Greater Hume Shire (A),0
Griffith (C),0
Gunnedah (A),0
Gwydir (A),0
Hawkesbury (C),1
Hay (A),0
Hilltops (A),0
Hornsby (A),1
Hunters Hill (A),1
Inner West (A),1
Inverell (A),0
Junee (A),0
Kempsey (A),0
Kiama (A),0
Ku-ring-gai (A),1
Kyogle (A),0
Lachlan (A),0
Lake Macquarie (C),0
Lane Cove (A),1
Leeton (A),0
Lismore (C),0
Lithgow (C),0
Liverpool (C),1
Liverpool Plains (A),0
Lockhart (A),0
Maitland (C),0
Mid-Coast (A),0
Mid-Western Regional (A),0
Moree Plains (A),0
Mosman (A),1
Murray River (A),0
Murrumbidgee (A),0
Muswellbrook (A),0
Nambucca (A),0
Narrabri (A),0
Narrandera (A),0
Narromine (A),0
Newcastle (C),0
North Sydney (A),1
Northern Beaches (A),1
Oberon (A),0
Orange (C),0
Parkes (A),0
Parramatta (C),1
Penrith (C),1
Port Macquarie-Hastings (A),0
Port Stephens (A),0
Queanbeyan-Palerang Regional (A),0
Randwick (C),1
Richmond Valley (A),0
Ryde (C),1
Shellharbour (C),0
Shoalhaven (C),0
Singleton (A),0
Snowy Monaro Regional (A),0
Snowy Valleys (A),0
Strathfield (A),1
Sutherland Shire (A),1
Sydney (C),1
Tamworth Regional (A),0
Temora (A),0
Tenterfield (A),0
The Hills Shire (A),1
Tweed (A),0
Upper Hunter Shire (A),0
Upper Lachlan Shire (A),0
Uralla (A),0
Wagga Wagga (C),0
Walcha (A),0
Walgett (A),0
Warren (A),0
Warrumbungle Shire (A),0
Waverley (A),1
Weddin (A),0
Wentworth (A),0
Willoughby (C),1
Wingecarribee (A),0
Wollondilly (A),1
Wollongong (C),1
Woollahra (A),1
Yass Valley (A),0
